year,jun_2009,jun_2009_frcst,jun_2010,jun_2010_frcst,jun_2011,jun_2011_frcst,jun_2012,jun_2012_frcst,sep_2013,sep_2013_frcst,jul_2014,jul_2014_frcst,jun_2015,jun_2015_frcst,jul_2016,jul_2016_frcst,jan_2017,jan_2017_frcst,mar_2017,mar_2017_frcst,jun_2018,jun_2018_frcst,jan_2019,jan_2019_frcst,jun_2019,jun_2019_frcst,jan_2020,jan_2020_frcst,sep_2020,sep_2020_frcst,mar_2021,mar_2021_frcst
1996,47.9,0,48,0,48,0,,,47,0,47,0,47,0,47,0,46.803,0,47,0,47,0,46.962,0,47,0,46.962,0,46.962,0,46.962,0
1997,45.3,0,46,0,46,0,,,44,0,44,0,44,0,44,0,44.468,0,44,0,44,0,44.638,0,45,0,44.638,0,44.638,0,44.638,0
1998,42.3,0,43,0,43,0,,,42,0,42,0,42,0,42,0,41.554,0,42,0,42,0,41.666,0,42,0,41.666,0,41.666,0,41.666,0
1999,38.6,0,39,0,39,0,,,38,0,38,0,38,0,38,0,38.193,0,38,0,38,0,38.319,0,38,0,38.319,0,38.319,0,38.319,0
2000,34.5,0,35,0,35,0,35,0,34,0,34,0,34,0,34,0,33.6,0,34,0,34,0,33.702,0,34,0,33.702,0,33.702,0,33.702,0
2001,33.3,0,32,0,32,0,32,0,31,0,31,0,31,0,31,0,31.422,0,31,0,31,0,31.536,0,32,0,31.536,0,31.536,0,31.536,0
2002,34.7,0,34,0,34,0,34,0,33,0,33,0,33,0,33,0,32.55,0,33,0,33,0,32.68,0,33,0,32.68,0,32.68,0,32.68,0
2003,36.6,0,36,0,36,0,36,0,35,0,35,0,35,0,35,0,34.533,0,35,0,35,0,34.682,0,35,0,34.682,0,34.682,0,34.682,0
2004,37.4,0,37,0,37,0,37,0,36,0,36,0,36,0,36,0,35.534,0,36,0,36,0,35.72,0,36,0,35.72,0,35.72,0,35.72,0
2005,37.5,0,37,0,37,0,37,0,36,0,36,0,36,0,36,0,35.629,0,36,0,36,0,35.781,0,36,0,35.781,0,35.781,0,35.781,0
2006,37,0,37,0,37,0,37,0,35,0,35,0,35,0,35,0,35.287,0,35,0,35,0,35.407,0,35,0,35.407,0,35.407,0,35.407,0
2007,37.9,0,36,0,36,0,36,0,35,0,35,0,35,0,35,0,35.154,0,35,0,35,0,35.233,0,35,0,35.233,0,35.233,0,35.233,0
2008,44,0,40,0,40,0,40,0,39,0,39,0,39,0,39,0,39.336,0,39,0,39,0,39.361,0,39,0,39.361,0,39.361,0,39.361,0
2009,56.6,1,53,0,54,0,54,0,52,0,52,0,52,0,52,0,52.341,0,52,0,52,0,52.278,0,52,0,52.278,0,52.278,0,52.278,0
2010,60.6,1,62,1,62,0,63,0,61,0,61,0,61,0,61,0,60.945,0,61,0,61,0,60.779,0,61,0,60.779,0,60.779,0,60.779,0
2011,62,1,66,1,69,1,68,0,66,0,66,0,66,0,66,0,65.857,0,66,0,66,0,65.752,0,66,0,65.752,0,65.752,0,65.752,0
2012,61.5,1,67,1,73,1,73,1,70,0,70,0,70,0,70,0,70.387,0,70,0,70,0,70.259,0,70,0,70.259,0,70.259,0,70.259,0
2013,60.7,1,66,1,75,1,76,1,73,1,72,0,72,0,73,0,72.553,0,73,0,73,0,72.169,0,72,0,72.169,0,72.169,0,72.169,0
2014,60.1,1,65,1,75,1,76,1,74,1,74,1,74,0,74,0,74.215,0,74,0,74,0,73.732,0,74,0,73.721,0,73.721,0,73.721,0
2015,59.5,1,65,1,74,1,73,1,72,1,73,1,74,1,74,0,73.261,0,73,0,73,0,72.507,0,73,0,72.47,0,72.47,0,72.444,0
2016,59,1,65,1,75,1,71,1,70,1,73,1,74,1,75.4,1,76.989,0,77,0,77,0,76.371,0,76,0,76.356,0,76.356,0,76.245,0
2017,57.9,1,65,1,75,1,69,1,69,1,72,1,73,1,75.5,1,77,1,77,1,76,0,76.096,0,76,0,76.035,0,76.035,0,75.921,0
2018,56.1,1,65,1,75,1,67,1,68,1,73,1,73,1,75.5,1,77,1,77,1,78,1,77.836,0,78,0,77.449,0,77.449,0,77.322,0
2019,56,1,66,1,75,1,65,1,69,1,73,1,74,1,76.3,1,78,1,78,1,79,1,78,1,78,1,79.185,0,79.175,0,79.16,0
2020,56.2,1,66,1,75,1,64,1,69,1,74,1,74,1,77.3,1,79,1,79,1,81,1,80,1,79,1,81,1,98.164,1,100.092,0
2021,56.5,1,66,1,76,1,62,1,70,1,75,1,74,1,78.4,1,80,1,80,1,83,1,81,1,81,1,82,1,104.445,1,102.324,1
2022,57,1,67,1,76,1,61,1,70,1,76,1,75,1,79.9,1,81,1,81,1,86,1,83,1,83,1,84,1,105.628,1,101.988,1
2023,57.5,1,67,1,76,1,61,1,71,1,77,1,76,1,81.3,1,83,1,83,1,88,1,85,1,85,1,86,1,106.721,1,101.998,1
2024,58.2,1,68,1,76,1,60,1,72,1,78,1,77,1,82.5,1,84,1,84,1,90,1,86,1,86,1,87,1,107.1,1,101.436,1
2025,59.2,1,69,1,77,1,59,1,73,1,80,1,78,1,84,1,85,1,85,1,91,1,88,1,87,1,89,1,107.224,1,101.181,1
2026,60.3,1,70,1,78,1,59,1,75,1,81,1,79,1,85.7,1,87,1,87,1,93,1,89,1,88,1,91,1,106.728,1,100.867,1
2027,61.7,1,71,1,78,1,59,1,77,1,82,1,80,1,87.6,1,89,1,89,1,94,1,90,1,89,1,93,1,106.254,1,100.974,1
2028,63.3,1,72,1,79,1,58,1,79,1,84,1,82,1,89.6,1,91,1,91,1,96,1,92,1,91,1,95,1,106.795,1,102.222,1
2029,65.1,1,73,1,80,1,58,1,81,1,86,1,83,1,91.8,1,93,1,93,1,97,1,93,1,92,1,96,1,107.378,1,103.169,1
2030,67.1,1,74,1,80,1,57,1,83,1,88,1,85,1,94.1,1,95,1,95,1,99,1,94,1,93,1,98,1,108.875,1,104.976,1
2031,69.3,1,75,1,81,1,56,1,85,1,90,1,87,1,96.6,1,97,1,97,1,101,1,96,1,95,1,101,1,110.912,1,107.198,1
2032,71.5,1,76,1,82,1,56,1,87,1,92,1,88,1,99.2,1,99,1,99,1,103,1,98,1,97,1,103,1,113.325,1,109.775,1
2033,74,1,77,1,83,1,55,1,89,1,94,1,90,1,101.8,1,102,1,102,1,105,1,100,1,99,1,106,1,116.091,1,112.666,1
2034,76.6,1,78,1,83,1,55,1,91,1,96,1,92,1,104.6,1,104,1,105,1,107,1,102,1,101,1,109,1,119.17,1,115.89,1
2035,79.3,1,79,1,84,1,54,1,93,1,98,1,94,1,107.4,1,107,1,107,1,110,1,104,1,103,1,112,1,122.51,1,119.381,1
2036,82.1,1,80,1,85,1,53,1,96,1,100,1,96,1,110.2,1,110,1,110,1,112,1,106,1,105,1,115,1,126.055,1,123.103,1
2037,84.8,1,81,1,85,1,53,1,98,1,102,1,98,1,113.2,1,113,1,113,1,115,1,109,1,108,1,119,1,129.79,1,126.961,1
2038,87.9,1,82,1,86,1,52,1,100,1,104,1,99,1,116.2,1,115,1,116,1,118,1,111,1,110,1,122,1,133.732,1,131.063,1
2039,91,1,83,1,86,1,51,1,102,1,106,1,101,1,119.2,1,118,1,120,1,121,1,114,1,113,1,126,1,137.87,1,135.372,1
2040,94,1,84,1,87,1,50,1,105,1,108,1,103,1,122.3,1,121,1,123,1,124,1,117,1,116,1,130,1,142.224,1,139.871,1
2041,97.2,1,85,1,87,1,49,1,107,1,110,1,104,1,125.4,1,125,1,127,1,127,1,120,1,119,1,134,1,146.791,1,144.609,1
2042,100.4,1,86,1,87,1,48,1,109,1,111,1,106,1,128.6,1,128,1,130,1,130,1,123,1,122,1,139,1,151.535,1,149.542,1
2043,103.6,1,86,1,87,1,47,1,112,1,113,1,107,1,131.7,1,131,1,134,1,133,1,126,1,125,1,143,1,156.432,1,154.658,1
2044,106.8,1,87,1,87,1,45,1,114,1,115,1,108,1,134.8,1,134,1,138,1,137,1,129,1,128,1,148,1,161.498,1,159.942,1
2045,110.3,1,88,1,87,1,44,1,116,1,117,1,110,1,138,1,138,1,142,1,140,1,133,1,131,1,153,1,166.699,1,165.399,1
2046,113.6,1,88,1,87,1,42,1,119,1,119,1,111,1,141.1,1,141,1,146,1,144,1,136,1,134,1,158,1,172.022,1,171.015,1
2047,117.1,1,89,1,86,1,41,1,121,1,121,1,113,1,,,145,1,150,1,148,1,140,1,137,1,163,1,177.533,1,176.795,1
2048,120.5,1,89,1,86,1,39,1,124,1,123,1,114,1,,,,,,,152,1,144,1,141,1,169,1,183.227,1,182.774,1
2049,124.1,1,90,1,86,1,38,1,126,1,124,1,115,1,,,,,,,,,147,1,144,1,174,1,189.093,1,188.942,1
2050,127.6,1,90,1,85,1,36,1,129,1,126,1,117,1,,,,,,,,,,,,,180,1,195.184,1,195.343,1
2051,131.2,1,90,1,85,1,34,1,131,1,128,1,118,1,,,,,,,,,,,,,,,,,202.011,1
2052,134.9,1,91,1,84,1,32,1,133,1,130,1,119,1,,,,,,,,,,,,,,,,,,
2053,138.5,1,91,1,84,1,31,1,136,1,132,1,120,1,,,,,,,,,,,,,,,,,,
2054,142.4,1,91,1,83,1,29,1,139,1,134,1,122,1,,,,,,,,,,,,,,,,,,
2055,146.3,1,92,1,83,1,27,1,141,1,136,1,123,1,,,,,,,,,,,,,,,,,,
2056,150.5,1,92,1,82,1,25,1,144,1,138,1,125,1,,,,,,,,,,,,,,,,,,
2057,154.3,1,92,1,82,1,23,1,146,1,140,1,126,1,,,,,,,,,,,,,,,,,,
2058,158.5,1,92,1,81,1,21,1,149,1,143,1,127,1,,,,,,,,,,,,,,,,,,
2059,162.5,1,93,1,80,1,19,1,152,1,145,1,129,1,,,,,,,,,,,,,,,,,,
2060,167,1,93,1,80,1,17,1,154,1,147,1,130,1,,,,,,,,,,,,,,,,,,
2061,171.6,1,93,1,79,1,16,1,157,1,149,1,132,1,,,,,,,,,,,,,,,,,,
2062,176.2,1,93,1,78,1,14,1,160,1,152,1,133,1,,,,,,,,,,,,,,,,,,
2063,180.5,1,94,1,78,1,12,1,163,1,154,1,134,1,,,,,,,,,,,,,,,,,,
2064,185.4,1,94,1,77,1,10,1,165,1,156,1,136,1,,,,,,,,,,,,,,,,,,
2065,190.2,1,94,1,77,1,8,1,168,1,159,1,137,1,,,,,,,,,,,,,,,,,,
2066,195.3,1,95,1,76,1,6,1,171,1,161,1,139,1,,,,,,,,,,,,,,,,,,
2067,200.5,1,95,1,76,1,4,1,174,1,163,1,140,1,,,,,,,,,,,,,,,,,,
2068,206.1,1,96,1,75,1,2,1,177,1,166,1,142,1,,,,,,,,,,,,,,,,,,
2069,211.6,1,96,1,75,1,0,1,180,1,168,1,143,1,,,,,,,,,,,,,,,,,,
2070,217.2,1,97,1,75,1,-1,1,183,1,171,1,145,1,,,,,,,,,,,,,,,,,,
2071,223,1,97,1,74,1,-3,1,186,1,173,1,146,1,,,,,,,,,,,,,,,,,,
2072,229,1,98,1,74,1,-5,1,189,1,176,1,148,1,,,,,,,,,,,,,,,,,,
2073,235.1,1,99,1,74,1,-7,1,192,1,178,1,150,1,,,,,,,,,,,,,,,,,,
2074,241.2,1,100,1,73,1,-9,1,196,1,181,1,151,1,,,,,,,,,,,,,,,,,,
2075,247.5,1,101,1,73,1,-11,1,199,1,183,1,153,1,,,,,,,,,,,,,,,,,,
2076,254.1,1,102,1,73,1,-12,1,202,1,185,1,154,1,,,,,,,,,,,,,,,,,,
2077,260.9,1,103,1,73,1,-14,1,205,1,188,1,156,1,,,,,,,,,,,,,,,,,,
2078,268.4,1,104,1,73,1,-16,1,208,1,191,1,158,1,,,,,,,,,,,,,,,,,,
2079,275.5,1,105,1,73,1,-18,1,212,1,194,1,159,1,,,,,,,,,,,,,,,,,,
2080,283,1,107,1,73,1,-20,1,216,1,197,1,161,1,,,,,,,,,,,,,,,,,,
2081,290.6,1,108,1,73,1,-21,1,219,1,200,1,163,1,,,,,,,,,,,,,,,,,,
2082,298.5,1,110,1,74,1,-23,1,223,1,203,1,165,1,,,,,,,,,,,,,,,,,,
2083,306.3,1,111,1,74,1,-25,1,226,1,206,1,167,1,,,,,,,,,,,,,,,,,,
2084,,,113,1,74,1,-27,1,230,1,209,1,169,1,,,,,,,,,,,,,,,,,,
2085,,,,,75,1,-28,1,233,1,212,1,171,1,,,,,,,,,,,,,,,,,,
2086,,,,,,,-30,1,237,1,216,1,172,1,,,,,,,,,,,,,,,,,,
2087,,,,,,,-32,1,241,1,219,1,174,1,,,,,,,,,,,,,,,,,,
2088,,,,,,,,,245,1,222,1,176,1,,,,,,,,,,,,,,,,,,
2089,,,,,,,,,,,225,1,179,1,,,,,,,,,,,,,,,,,,
2090,,,,,,,,,,,,,181,1,,,,,,,,,,,,,,,,,,
