year,jun_2009,jun_2009_frcst,jun_2010,jun_2010_frcst,jun_2011,jun_2011_frcst,jun_2012,jun_2012_frcst,sep_2013,sep_2013_frcst,jul_2014,jul_2014_frcst,jun_2015,jun_2015_frcst,jul_2016,jul_2016_frcst,jan_2017,jan_2017_frcst,mar_2017,mar_2017_frcst,jun_2018,jun_2018_frcst,jan_2019,jan_2019_frcst,jun_2019,jun_2019_frcst,jan_2020,jan_2020_frcst,sep_2020,sep_2020_frcst,mar_2021,mar_2021_frcst
1830,,,,,,,,,3,0,3,0,3,0,3,0,,,3,0,3,0,,,3,0,,,,,,
1831,,,,,,,,,2,0,2,0,2,0,2,0,,,2,0,2,0,,,2,0,,,,,,
1832,,,,,,,,,1,0,1,0,1,0,1,0,,,1,0,1,0,,,1,0,,,,,,
1833,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,,,,
1834,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,,,,
1835,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,,,,
1836,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,,,,
1837,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,,,,
1838,,,,,,,,,1,0,1,0,1,0,1,0,,,1,0,1,0,,,1,0,,,,,,
1839,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,,,,
1840,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,,,,
1841,,,,,,,,,1,0,1,0,1,0,1,0,,,1,0,1,0,,,1,0,,,,,,
1842,,,,,,,,,1,0,1,0,1,0,1,0,,,1,0,1,0,,,1,0,,,,,,
1843,,,,,,,,,2,0,2,0,2,0,2,0,,,2,0,2,0,,,2,0,,,,,,
1844,,,,,,,,,1,0,1,0,1,0,1,0,,,1,0,1,0,,,1,0,,,,,,
1845,,,,,,,,,1,0,1,0,1,0,1,0,,,1,0,1,0,,,1,0,,,,,,
1846,,,,,,,,,1,0,1,0,1,0,1,0,,,1,0,1,0,,,1,0,,,,,,
1847,,,,,,,,,2,0,2,0,2,0,2,0,,,2,0,2,0,,,2,0,,,,,,
1848,,,,,,,,,2,0,2,0,2,0,2,0,,,2,0,2,0,,,2,0,,,,,,
1849,,,,,,,,,3,0,3,0,3,0,3,0,,,3,0,3,0,,,3,0,,,,,,
